epoch,train_loss,train_acc,val_loss,val_acc
1,3.546839,0.133313,3.015179,0.234600
2,2.921909,0.302261,2.431845,0.356400
3,2.394896,0.463063,1.963725,0.485800
4,1.943526,0.609704,1.690665,0.561200
5,1.582166,0.744319,1.706251,0.553800
6,1.288970,0.854993,1.373216,0.637400
7,1.058258,0.943278,1.276064,0.678800
8,0.914103,0.988140,1.228387,0.708800
9,0.846826,0.998282,1.159179,0.736400
10,0.813809,0.999390,1.149439,0.745600
11,0.796285,0.999751,1.156770,0.748800
12,0.783399,0.999917,1.188967,0.760000
13,0.772113,0.999972,1.171867,0.768400
14,0.762132,1.000000,1.174768,0.776600
15,0.752992,1.000000,1.181657,0.778600
16,0.746098,1.000000,1.169817,0.783800
17,0.740842,1.000000,1.186100,0.791800
18,0.737185,1.000000,1.188613,0.793200
19,0.734486,1.000000,1.197194,0.794400
20,0.733453,1.000000,1.204008,0.795400
