epoch,train_loss,train_acc,val_loss,val_acc
1,3.456236,0.154539,3.004743,0.234800
2,2.793182,0.342829,2.377507,0.383600
3,2.282908,0.503935,2.283312,0.396200
4,1.855214,0.647805,1.667813,0.559600
5,1.522762,0.771808,1.490352,0.608000
6,1.248257,0.879738,1.526575,0.590000
7,1.045213,0.954888,1.390052,0.646000
8,0.921925,0.989747,1.378365,0.651200
9,0.859944,0.998088,1.297247,0.689800
10,0.828507,0.999529,1.222138,0.724000
11,0.809543,0.999889,1.317268,0.702600
12,0.795270,0.999917,1.216370,0.743200
13,0.783668,1.000000,1.241192,0.746600
14,0.775361,1.000000,1.225460,0.758000
15,0.767141,1.000000,1.222934,0.759600
16,0.761063,1.000000,1.258595,0.760600
17,0.756974,1.000000,1.246743,0.764600
18,0.753158,1.000000,1.254750,0.767800
19,0.751015,1.000000,1.260630,0.765800
20,0.750159,1.000000,1.263467,0.768000
