epoch,train_loss,train_acc,val_loss,val_acc
1,2.210558,0.542230,0.968898,0.770800
2,1.168655,0.897556,0.662656,0.851200
3,0.893843,0.985896,0.600156,0.882600
4,0.814330,0.999113,0.580927,0.900800
5,0.786733,0.999861,0.571422,0.908600
6,0.778247,0.999889,0.564904,0.910600
7,0.776231,0.999806,0.552062,0.913000
8,0.773859,0.999861,0.578710,0.910200
9,0.765386,0.999972,0.563324,0.920400
10,0.752299,1.000000,0.544090,0.924200
11,0.742297,1.000000,0.558158,0.929600
12,0.734899,1.000000,0.561461,0.930400
13,0.729690,1.000000,0.556987,0.933400
14,0.726028,1.000000,0.565467,0.933200
15,0.722748,1.000000,0.564543,0.935000
16,0.719756,1.000000,0.569982,0.935800
17,0.717847,1.000000,0.571610,0.936200
18,0.716642,1.000000,0.574839,0.938400
19,0.715418,1.000000,0.579767,0.937200
20,0.714931,1.000000,0.580028,0.937000
