epoch,train_loss,train_acc,val_loss,val_acc
1,2.159861,0.567751,0.797279,0.820800
2,1.081649,0.930476,0.574745,0.899200
3,0.839835,0.996121,0.532283,0.914600
4,0.781906,0.999917,0.540160,0.922600
5,0.763699,1.000000,0.541819,0.927200
6,0.758043,0.999972,0.543863,0.925400
7,0.755865,1.000000,0.536895,0.926600
8,0.752404,0.999945,0.532996,0.928000
9,0.747104,1.000000,0.536898,0.935400
10,0.740669,1.000000,0.523174,0.934800
11,0.733531,1.000000,0.533700,0.937200
12,0.728519,1.000000,0.546558,0.936200
13,0.724329,1.000000,0.546795,0.938000
14,0.721226,1.000000,0.557605,0.941200
15,0.718534,1.000000,0.556562,0.938600
16,0.716788,1.000000,0.552894,0.940600
17,0.715226,1.000000,0.569547,0.940800
18,0.714171,1.000000,0.568688,0.941200
19,0.713548,1.000000,0.569294,0.941000
20,0.713183,1.000000,0.575317,0.942000
