epoch,train_loss,train_acc,val_loss,val_acc
1,3.194701,0.245600,2.344846,0.401000
2,1.869505,0.672800,1.885026,0.521200
3,1.114178,0.942200,1.669399,0.588800
4,0.847238,0.998400,1.672323,0.612600
5,0.794356,1.000000,1.706638,0.615600
6,0.777438,1.000000,1.738196,0.616400
7,0.767687,1.000000,1.774355,0.617800
8,0.761434,1.000000,1.794690,0.616800
9,0.756651,1.000000,1.798246,0.619200
10,0.751954,1.000000,1.824837,0.620600
11,0.747761,1.000000,1.832401,0.626800
12,0.744796,1.000000,1.850521,0.625200
13,0.741225,1.000000,1.860929,0.623000
14,0.738668,1.000000,1.874894,0.624200
15,0.736055,1.000000,1.895295,0.626200
16,0.734664,1.000000,1.899491,0.625400
17,0.733414,1.000000,1.903849,0.625200
18,0.732268,1.000000,1.907392,0.622800
19,0.731669,1.000000,1.907834,0.623800
20,0.731508,1.000000,1.910673,0.623200
